"Input","SYMBOL","Species"
"CEP41-Macaca mulatta","CEP41","Macaca mulatta"
"CEP43-Macaca mulatta","CEP43","Macaca mulatta"
"CEP57-Macaca mulatta","CEP57","Macaca mulatta"
"CEP68-Macaca mulatta","CEP68","Macaca mulatta"
"CEP70-Macaca mulatta","CEP70","Macaca mulatta"
"CEP78-Macaca mulatta","CEP78","Macaca mulatta"
"CERS1-Macaca mulatta","CERS1","Macaca mulatta"
"CFL1-Macaca mulatta","CFL1","Macaca mulatta"
"CHID1-Macaca mulatta","CHID1","Macaca mulatta"
"CHMP2B-Macaca mulatta","CHMP2B","Macaca mulatta"
"CHMP4B-Macaca mulatta","CHMP4B","Macaca mulatta"
"CHRM1-Macaca mulatta","CHRM1","Macaca mulatta"
"CISD2-Macaca mulatta","CISD2","Macaca mulatta"
"CIT-Macaca mulatta","CIT","Macaca mulatta"
"CKAP4-Macaca mulatta","CKAP4","Macaca mulatta"
"CKAP5-Macaca mulatta","CKAP5","Macaca mulatta"
"CKB-Macaca mulatta","CKB","Macaca mulatta"
"CKM-Macaca mulatta","CKM","Macaca mulatta"
"CLASP1-Macaca mulatta","CLASP1","Macaca mulatta"
"CLASP2-Macaca mulatta","CLASP2","Macaca mulatta"
"CLCN6-Macaca mulatta","CLCN6","Macaca mulatta"
"CLDN11-Macaca mulatta","CLDN11","Macaca mulatta"
"CLDN12-Macaca mulatta","CLDN12","Macaca mulatta"
"CLIP2-Macaca mulatta","CLIP2","Macaca mulatta"
"CLIP3-Macaca mulatta","CLIP3","Macaca mulatta"
"CLTC-Macaca mulatta","CLTC","Macaca mulatta"
"CLU-Macaca mulatta","CLU","Macaca mulatta"
"CMAS-Macaca mulatta","CMAS","Macaca mulatta"
"CMTM4-Macaca mulatta","CMTM4","Macaca mulatta"
"CNIH2-Macaca mulatta","CNIH2","Macaca mulatta"
"CNIH3-Macaca mulatta","CNIH3","Macaca mulatta"
"CNKSR2-Macaca mulatta","CNKSR2","Macaca mulatta"
"CNP-Macaca mulatta","CNP","Macaca mulatta"
"CNRIP1-Macaca mulatta","CNRIP1","Macaca mulatta"
"CNTN1-Macaca mulatta","CNTN1","Macaca mulatta"
"CNTN2-Macaca mulatta","CNTN2","Macaca mulatta"
"CNTN3-Macaca mulatta","CNTN3","Macaca mulatta"
"CNTN4-Macaca mulatta","CNTN4","Macaca mulatta"
"CNTN6-Macaca mulatta","CNTN6","Macaca mulatta"
"CNTNAP1-Macaca mulatta","CNTNAP1","Macaca mulatta"
"CNTNAP2-Macaca mulatta","CNTNAP2","Macaca mulatta"
"CNTRL-Macaca mulatta","CNTRL","Macaca mulatta"
"CNTROB-Macaca mulatta","CNTROB","Macaca mulatta"
"COL1A1-Macaca mulatta","COL1A1","Macaca mulatta"
"COL1A2-Macaca mulatta","COL1A2","Macaca mulatta"
"COL2A1-Macaca mulatta","COL2A1","Macaca mulatta"
"COL4A1-Macaca mulatta","COL4A1","Macaca mulatta"
"CORO1A-Macaca mulatta","CORO1A","Macaca mulatta"
"CORO1C-Macaca mulatta","CORO1C","Macaca mulatta"
"CORO2B-Macaca mulatta","CORO2B","Macaca mulatta"
"CORO7-Macaca mulatta","CORO7","Macaca mulatta"
"COX16-Macaca mulatta","COX16","Macaca mulatta"
"CPEB3-Macaca mulatta","CPEB3","Macaca mulatta"
"CRACD-Macaca mulatta","CRACD","Macaca mulatta"
"CRACDL-Macaca mulatta","CRACDL","Macaca mulatta"
"CRIP2-Macaca mulatta","CRIP2","Macaca mulatta"
"CRMP1-Macaca mulatta","CRMP1","Macaca mulatta"
"CROCC-Macaca mulatta","CROCC","Macaca mulatta"
"CRTAC1-Macaca mulatta","CRTAC1","Macaca mulatta"
"CRYAB-Macaca mulatta","CRYAB","Macaca mulatta"
"CSNK1A1-Macaca mulatta","CSNK1A1","Macaca mulatta"
"CSNK1D-Macaca mulatta","CSNK1D","Macaca mulatta"
"CSNK2A1-Macaca mulatta","CSNK2A1","Macaca mulatta"
"CSNK2A2-Macaca mulatta","CSNK2A2","Macaca mulatta"
"CSNK2B-Macaca mulatta","CSNK2B","Macaca mulatta"
"CSPG5-Macaca mulatta","CSPG5","Macaca mulatta"
"CSRP1-Macaca mulatta","CSRP1","Macaca mulatta"
"CSRP2-Macaca mulatta","CSRP2","Macaca mulatta"
"CTBP1-Macaca mulatta","CTBP1","Macaca mulatta"
"CTNNA1-Macaca mulatta","CTNNA1","Macaca mulatta"
"CTNNA2-Macaca mulatta","CTNNA2","Macaca mulatta"
"CTNNB1-Macaca mulatta","CTNNB1","Macaca mulatta"
"CTNND1-Macaca mulatta","CTNND1","Macaca mulatta"
"CTNND2-Macaca mulatta","CTNND2","Macaca mulatta"
"CTSD-Macaca mulatta","CTSD","Macaca mulatta"
"CTTN-Macaca mulatta","CTTN","Macaca mulatta"
"CTTNBP2-Macaca mulatta","CTTNBP2","Macaca mulatta"
"CUL5-Macaca mulatta","CUL5","Macaca mulatta"
"CUL7-Macaca mulatta","CUL7","Macaca mulatta"
"CXADR-Macaca mulatta","CXADR","Macaca mulatta"
"CYB5R1-Macaca mulatta","CYB5R1","Macaca mulatta"
"CYCS-Macaca mulatta","CYCS","Macaca mulatta"
"CYFIP1-Macaca mulatta","CYFIP1","Macaca mulatta"
"CYFIP2-Macaca mulatta","CYFIP2","Macaca mulatta"
"CYLD-Macaca mulatta","CYLD","Macaca mulatta"
"CYP46A1-Macaca mulatta","CYP46A1","Macaca mulatta"
"CYP4B1-Macaca mulatta","CYP4B1","Macaca mulatta"
"CYTH2-Macaca mulatta","CYTH2","Macaca mulatta"
"DAAM1-Macaca mulatta","DAAM1","Macaca mulatta"
"DAAM2-Macaca mulatta","DAAM2","Macaca mulatta"
"DAB2IP-Macaca mulatta","DAB2IP","Macaca mulatta"
"DACT3-Macaca mulatta","DACT3","Macaca mulatta"
"DAD1-Macaca mulatta","DAD1","Macaca mulatta"
"DAGLA-Macaca mulatta","DAGLA","Macaca mulatta"
"DARS1-Macaca mulatta","DARS1","Macaca mulatta"
"DBN1-Macaca mulatta","DBN1","Macaca mulatta"
"DCC-Macaca mulatta","DCC","Macaca mulatta"
"DCLK1-Macaca mulatta","DCLK1","Macaca mulatta"
"DCLK2-Macaca mulatta","DCLK2","Macaca mulatta"
"DCTN1-Macaca mulatta","DCTN1","Macaca mulatta"
"DCTN2-Macaca mulatta","DCTN2","Macaca mulatta"
"DCX-Macaca mulatta","DCX","Macaca mulatta"
"DDN-Macaca mulatta","DDN","Macaca mulatta"
"DDX1-Macaca mulatta","DDX1","Macaca mulatta"
"DDX17-Macaca mulatta","DDX17","Macaca mulatta"
"DDX3X-Macaca mulatta","DDX3X","Macaca mulatta"
"DDX6-Macaca mulatta","DDX6","Macaca mulatta"
"DES-Macaca mulatta","DES","Macaca mulatta"
"DGKB-Macaca mulatta","DGKB","Macaca mulatta"
"DGKD-Macaca mulatta","DGKD","Macaca mulatta"
"DGKZ-Macaca mulatta","DGKZ","Macaca mulatta"
"DHCR7-Macaca mulatta","DHCR7","Macaca mulatta"
"DHX9-Macaca mulatta","DHX9","Macaca mulatta"
"DIP2C-Macaca mulatta","DIP2C","Macaca mulatta"
"DIPK2A-Macaca mulatta","DIPK2A","Macaca mulatta"
"DIRAS2-Macaca mulatta","DIRAS2","Macaca mulatta"
"DISP2-Macaca mulatta","DISP2","Macaca mulatta"
"DLG1-Macaca mulatta","DLG1","Macaca mulatta"
"DLG2-Macaca mulatta","DLG2","Macaca mulatta"
"DLG3-Macaca mulatta","DLG3","Macaca mulatta"
"DLG4-Macaca mulatta","DLG4","Macaca mulatta"
"DLG5-Macaca mulatta","DLG5","Macaca mulatta"
"DLGAP1-Macaca mulatta","DLGAP1","Macaca mulatta"
"DLGAP2-Macaca mulatta","DLGAP2","Macaca mulatta"
"DLGAP3-Macaca mulatta","DLGAP3","Macaca mulatta"
"DLGAP4-Macaca mulatta","DLGAP4","Macaca mulatta"
"DMAC1-Macaca mulatta","DMAC1","Macaca mulatta"
"DMD-Macaca mulatta","DMD","Macaca mulatta"
"DMPK-Macaca mulatta","DMPK","Macaca mulatta"
"DMTN-Macaca mulatta","DMTN","Macaca mulatta"
"DMXL2-Macaca mulatta","DMXL2","Macaca mulatta"
"DNAH7-Macaca mulatta","DNAH7","Macaca mulatta"
"DNAH8-Macaca mulatta","DNAH8","Macaca mulatta"
"DNAJA1-Macaca mulatta","DNAJA1","Macaca mulatta"
"DNAJA2-Macaca mulatta","DNAJA2","Macaca mulatta"
"DNAJA4-Macaca mulatta","DNAJA4","Macaca mulatta"
"DNAJB1-Macaca mulatta","DNAJB1","Macaca mulatta"
"DNAJB11-Macaca mulatta","DNAJB11","Macaca mulatta"
"DNAJB2-Macaca mulatta","DNAJB2","Macaca mulatta"
"DNAJB4-Macaca mulatta","DNAJB4","Macaca mulatta"
"DNAJB5-Macaca mulatta","DNAJB5","Macaca mulatta"
"DNAJB6-Macaca mulatta","DNAJB6","Macaca mulatta"
"DNAJC13-Macaca mulatta","DNAJC13","Macaca mulatta"
"DNAJC6-Macaca mulatta","DNAJC6","Macaca mulatta"
"DNM1-Macaca mulatta","DNM1","Macaca mulatta"
"DNM2-Macaca mulatta","DNM2","Macaca mulatta"
"DNM3-Macaca mulatta","DNM3","Macaca mulatta"
"DOCK3-Macaca mulatta","DOCK3","Macaca mulatta"
"DOCK4-Macaca mulatta","DOCK4","Macaca mulatta"
"DOCK7-Macaca mulatta","DOCK7","Macaca mulatta"
"DOCK9-Macaca mulatta","DOCK9","Macaca mulatta"
"DPP10-Macaca mulatta","DPP10","Macaca mulatta"
"DPP6-Macaca mulatta","DPP6","Macaca mulatta"
"DPYSL2-Macaca mulatta","DPYSL2","Macaca mulatta"
"DPYSL3-Macaca mulatta","DPYSL3","Macaca mulatta"
"DPYSL4-Macaca mulatta","DPYSL4","Macaca mulatta"
"DPYSL5-Macaca mulatta","DPYSL5","Macaca mulatta"
"DSG1-Macaca mulatta","DSG1","Macaca mulatta"
"DSP-Macaca mulatta","DSP","Macaca mulatta"
"DST-Macaca mulatta","DST","Macaca mulatta"
"DSTN-Macaca mulatta","DSTN","Macaca mulatta"
"DTNA-Macaca mulatta","DTNA","Macaca mulatta"
