"Input","SYMBOL","Species"
"Coro1c-Mus musculus","Coro1c","Mus musculus"
"Coro2a-Mus musculus","Coro2a","Mus musculus"
"Coro2b-Mus musculus","Coro2b","Mus musculus"
"Cplx2-Mus musculus","Cplx2","Mus musculus"
"Cpne9-Mus musculus","Cpne9","Mus musculus"
"Cracd-Mus musculus","Cracd","Mus musculus"
"Cracdl-Mus musculus","Cracdl","Mus musculus"
"Crip2-Mus musculus","Crip2","Mus musculus"
"Crmp1-Mus musculus","Crmp1","Mus musculus"
"Crocc-Mus musculus","Crocc","Mus musculus"
"Cse1l-Mus musculus","Cse1l","Mus musculus"
"Csl-Mus musculus","Csl","Mus musculus"
"Csnk1a1-Mus musculus","Csnk1a1","Mus musculus"
"Csnk1d-Mus musculus","Csnk1d","Mus musculus"
"Csnk1e-Mus musculus","Csnk1e","Mus musculus"
"Csnk1g3-Mus musculus","Csnk1g3","Mus musculus"
"Csnk2a1-Mus musculus","Csnk2a1","Mus musculus"
"Csnk2a2-Mus musculus","Csnk2a2","Mus musculus"
"Csnk2b-Mus musculus","Csnk2b","Mus musculus"
"Cspg4-Mus musculus","Cspg4","Mus musculus"
"Cspg5-Mus musculus","Cspg5","Mus musculus"
"Csrp1-Mus musculus","Csrp1","Mus musculus"
"Ctbp1-Mus musculus","Ctbp1","Mus musculus"
"Ctc1-Mus musculus","Ctc1","Mus musculus"
"Ctnna1-Mus musculus","Ctnna1","Mus musculus"
"Ctnna2-Mus musculus","Ctnna2","Mus musculus"
"Ctnnb1-Mus musculus","Ctnnb1","Mus musculus"
"Ctnnd1-Mus musculus","Ctnnd1","Mus musculus"
"Ctnnd2-Mus musculus","Ctnnd2","Mus musculus"
"Cttn-Mus musculus","Cttn","Mus musculus"
"Cttnbp2-Mus musculus","Cttnbp2","Mus musculus"
"Cxadr-Mus musculus","Cxadr","Mus musculus"
"Cyb5r1-Mus musculus","Cyb5r1","Mus musculus"
"Cyfip1-Mus musculus","Cyfip1","Mus musculus"
"Cyfip2-Mus musculus","Cyfip2","Mus musculus"
"Cyld-Mus musculus","Cyld","Mus musculus"
"Cyp46a1-Mus musculus","Cyp46a1","Mus musculus"
"Cyth3-Mus musculus","Cyth3","Mus musculus"
"D430041D05Rik-Mus musculus","D430041D05Rik","Mus musculus"
"D630045J12Rik-Mus musculus","D630045J12Rik","Mus musculus"
"Daam1-Mus musculus","Daam1","Mus musculus"
"Daam2-Mus musculus","Daam2","Mus musculus"
"Dact3-Mus musculus","Dact3","Mus musculus"
"Dad1-Mus musculus","Dad1","Mus musculus"
"Dagla-Mus musculus","Dagla","Mus musculus"
"Dars-Mus musculus","Dars","Mus musculus"
"Dbn1-Mus musculus","Dbn1","Mus musculus"
"Dbnl-Mus musculus","Dbnl","Mus musculus"
