"Input","SYMBOL","Species"
"CDC42-Homo sapiens","CDC42","Homo sapiens"
"CDC42BPA-Homo sapiens","CDC42BPA","Homo sapiens"
"CDC42BPB-Homo sapiens","CDC42BPB","Homo sapiens"
"CDC42EP4-Homo sapiens","CDC42EP4","Homo sapiens"
"CDH10-Homo sapiens","CDH10","Homo sapiens"
"CDH11-Homo sapiens","CDH11","Homo sapiens"
"CDH13-Homo sapiens","CDH13","Homo sapiens"
"CDH2-Homo sapiens","CDH2","Homo sapiens"
"CDH4-Homo sapiens","CDH4","Homo sapiens"
"CDK18-Homo sapiens","CDK18","Homo sapiens"
"CDK5-Homo sapiens","CDK5","Homo sapiens"
"CDK5RAP2-Homo sapiens","CDK5RAP2","Homo sapiens"
"CDKL5-Homo sapiens","CDKL5","Homo sapiens"
"CDS2-Homo sapiens","CDS2","Homo sapiens"
"CELSR2-Homo sapiens","CELSR2","Homo sapiens"
"CELSR3-Homo sapiens","CELSR3","Homo sapiens"
"CEND1-Homo sapiens","CEND1","Homo sapiens"
"CEP120-Homo sapiens","CEP120","Homo sapiens"
"CEP135-Homo sapiens","CEP135","Homo sapiens"
"CEP170-Homo sapiens","CEP170","Homo sapiens"
"CEP170B-Homo sapiens","CEP170B","Homo sapiens"
"CEP250-Homo sapiens","CEP250","Homo sapiens"
"CEP41-Homo sapiens","CEP41","Homo sapiens"
"CEP57-Homo sapiens","CEP57","Homo sapiens"
"CEP68-Homo sapiens","CEP68","Homo sapiens"
"CEP97-Homo sapiens","CEP97","Homo sapiens"
"CERS1-Homo sapiens","CERS1","Homo sapiens"
"CFL1-Homo sapiens","CFL1","Homo sapiens"
"CHID1-Homo sapiens","CHID1","Homo sapiens"
"CHMP2A-Homo sapiens","CHMP2A","Homo sapiens"
"CHMP2B-Homo sapiens","CHMP2B","Homo sapiens"
"CHMP4B-Homo sapiens","CHMP4B","Homo sapiens"
"CISD2-Homo sapiens","CISD2","Homo sapiens"
"CIT-Homo sapiens","CIT","Homo sapiens"
"CKAP4-Homo sapiens","CKAP4","Homo sapiens"
"CKAP5-Homo sapiens","CKAP5","Homo sapiens"
"CKB-Homo sapiens","CKB","Homo sapiens"
"CLASP1-Homo sapiens","CLASP1","Homo sapiens"
